feature,importance_mean,importance_std
rolling_mean_7,0.35853949598783535,0.007883681657986023
rolling_mean_28,0.1561249942070148,0.004345641843531212
lag_1,0.10800393373198491,0.0047859830732916876
wday,0.023377277243923956,0.004718980203071184
rolling_std_28,0.015494473279733745,0.00039850155507699186
lag_7,0.006580442531266439,0.0006852856008821166
store_id,0.0038639663799137523,0.0012668253124373885
snap,0.002941485805527888,0.0007722950721390285
sell_price,0.0024414041685044685,0.00040470207009764964
lag_28,0.0014914509439412304,0.0006158496699740005
weekday,0.0008246093586411929,0.0007225007925096073
item_id,0.0008118291018136992,0.0006175980188396634
event_name_1,0.0,0.0
event_type_1,0.0,0.0
event_name_2,0.0,0.0
event_type_2,0.0,0.0
dept_id,0.0,0.0
year,0.0,0.0
state_id,0.0,0.0
cat_id,0.0,0.0
month,-1.1788941996049296e-05,7.045370866156381e-06
